Capitulo;Nivel;Codigo;Descripcion
3;PARTIDA;03.03;PESCADO CONGELADO, EXCEPTO LOS FILETES Y DEMÁS CARNE DE PESCADO DE LA PARTIDA 03.04.
3;PARTIDA;03.04;FILETES Y DEMÁS CARNE DE  PESCADO(INCLUSO PICADA), FRESCOS, REFRIGERADOS O CONGELADOS.
3;PARTIDA;03.05;"PESCADO SECO, SALADO O EN SALMUERA; PESCADO AHUMADO, INCLUSO COCIDO ANTES O DURANTE EL AHUMADO."
3;PARTIDA;03.06;"CRUSTÁCEOS, INCLUSO PELADOS, VIVOS, FRESCOS, REFRIGERADOS, CONGELADOS, SECOS, SALADOS O EN SALMUERA; CRUSTÁCEOS AHUMADOS, INCLUSO PELADOS, INCLUSO COCIDOS ANTES O DURANTE EL AHUMADO; CRUSTÁCEOS SIN PELAR, COCIDOS EN AGUA OVAPOR, INCLUSO REFRIGERADOS, CONGELADOS, SECOS, SALADOS O EN SALMUERA."
3;PARTIDA;03.07;"MOLUSCOS, INCLUSO SEPARADOS DE SUS VALVAS, VIVOS, FRESCOS, REFRIGERADOS, CONGELADOS, SECOS, SALADOS O EN SALMUERA; MOLUSCOS AHUMADOS, INCLUSO PELADOS, INCLUSO COCIDOS ANTES O DURANTE EL AHUMADO."
3;PARTIDA;03.08;"INVERTEBRADOS ACUÁTICOS, EXCEPTO LOS CRUSTÁCEOS MOLUSCOS, VIVOS, FRESCOS, REFRIGERADOS, CONGELADOS, SECOS, SALADOS O EN SALMUERA; INVERTEBRADOS ACUÁTICOS AHUMADOS, EXCEPTO LOS CRUSTÁCEOS Y MOLUSCOS, INCLUSO COCIDOS ANTES O DURANTE EL AHUMADO."
3;PARTIDA;03.09;HARINA, POLVOY«PELLETS»DE PESCADOS, CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICOS, APTOS PARA LA ALIMENTACIÓN HUMANA.
4;PARTIDA;04.01;LECHE Y NATA(CREMA), SIN CONCENTRAR, SIN ADICIÓN DE AZÚCAR NI OTRO EDULCORANTE.
4;PARTIDA;04.02;LECHE Y NATA(CREMA), CONCENTRADAS O CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.
4;PARTIDA;04.03;"YOGUR; SUERO DE MANTECA (DE MANTEQUILLA)*, LECHE Y NATA (CREMA) CUAJADAS, KÉFIR Y DEMÁS LECHES Y NATAS (CREMAS), FERMENTADAS O ACIDIFICADAS, INCLUSO CONCENTRADOS O CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE, AROMATIZADOS O CON FRUTAS U OTROS FRUTOS O CACAO."
4;PARTIDA;04.04;"LACTOSUERO, INCLUSO CONCENTRADO O CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE; PRODUCTOS CONSTITUIDOS POR LOS COMPONENTES NATURALES DE LA LECHE, INCLUSO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE."
4;PARTIDA;04.05;"MANTECA (MANTEQUILLA)* Y DEMÁS MATERIAS GRASAS DE LA LECHE; PASTAS LÁCTEAS PARA UNTAR."
4;PARTIDA;04.06;QUESOS Y REQUESÓN.
4;PARTIDA;04.07;HUEVOS DE AVE CON CÁSCARA(CASCARÓN), FRESCOS, CONSERVADOS O COCIDOS.
4;PARTIDA;04.08;HUEVOS DE AVE SIN CÁSCARA (CASCARÓN) Y YEMAS DE HUEVO, FRESCOS, SECOS, COCIDOS EN AGUA O VAPOR, MOLDEADOS, CONGELADOS O CONSERVADOS DE OTRO MODO, INCLUSO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.
4;PARTIDA;04.10;INSECTOS Y DEMÁS PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.
5;PARTIDA;05.02;"CERDAS DE CERDO O DE JABALÍ; PELO DE TEJÓN Y DEMÁS PELOS PARA CEPILLERÍA; DESPERDICIOS DE DICHAS CERDAS O PELOS."
5;PARTIDA;05.05;"PIELES Y DEMÁS PARTES DE AVE, CON SUS PLUMAS O PLUMÓN, PLUMAS Y PARTES DE PLUMAS(INCLUSO RECORTADAS)YPLUMÓN, EN BRUTO O SIMPLEMENTE LIMPIADOS, DESINFECTADOS O PREPARADOS PARA SU CONSERVACIÓN; POLVO Y DESPERDICIOS DE PLUMAS ODE PARTES DE PLUMAS."
5;PARTIDA;05.06;"HUESOS Y NÚCLEOS CÓRNEOS, EN BRUTO, DESGRASADOS, SIMPLEMENTE PREPARADOS (PERO SIN CORTAR EN FORMA DETERMINADA), ACIDULADOS O DESGELATINIZADOS; POLVO Y DESPERDICIOS DE ESTAS MATERIAS."
5;PARTIDA;05.07;"MARFIL, CONCHA (CAPARAZÓN) DE TORTUGA, BALLENAS DE MAMÍFEROS MARINOS (INCLUIDAS LAS BARBAS), CUERNOS, ASTAS, CASCOS, PEZUÑAS, UÑAS, GARRAS Y PICOS, EN BRUTO O SIMPLEMENTE PREPARADOS, PERO SIN CORTAR EN FORMA DETERMINADA; POLVO Y DESPERDICIOS DE ESTAS MATERIAS."
5;PARTIDA;05.11;"PRODUCTOS DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE; ANIMALES MUERTOS DE LOS CAPÍTULOS 1 O 3, IMPROPIOS PARA LA ALIMENTACIÓN HUMANA."
6;PARTIDA;06.01;"BULBOS, CEBOLLAS, TUBÉRCULOS, RAÍCES Y BULBOS TUBEROSOS, TURIONES Y RIZOMAS, EN REPOSO VEGETATIVO, EN VEGETACIÓN O ENFLOR; PLANTAS Y RAÍCES DE ACHICORIA, EXCEPTO LAS RAÍCES DE LA PARTIDA 12.12."
6;PARTIDA;06.02;"LAS DEMÁS PLANTAS VIVAS (INCLUIDAS SUS RAÍCES), ESQUEJES INJERTOS; MICELIOS."
6;PARTIDA;06.03;FLORES Y CAPULLOS, CORTADOS PARA RAMOS O ADORNOS, FRESCOS, SECOS, BLANQUEADOS, TEÑIDOS, IMPREGNADOS O PREPARADOS DE OTRA FORMA.
6;PARTIDA;06.04;FOLLAJE, HOJAS, RAMAS Y DEMÁS PARTES DE PLANTAS, SIN FLORES NI CAPULLOS, Y HIERBAS, MUSGOS Y LÍQUENES, PARA RAMOS O ADORNOS, FRESCOS, SECOS, BLANQUEADOS, TEÑIDOS, IMPREGNADOS O PREPARADOS DE OTRA FORMA.
7;PARTIDA;07.01;PAPAS (PATATAS)* FRESCAS O REFRIGERADAS.
7;PARTIDA;07.03;CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMÁS HORTALIZAS ALIÁCEAS, FRESCOS O REFRIGERADOS.
7;PARTIDA;07.04;COLES, INCLUIDOS LOS REPOLLOS, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GÉNERO BRASSICA, FRESCOS O REFRIGERADOS.
7;PARTIDA;07.05;LECHUGAS (LACTUCA SATIVA) Y ACHICORIAS, COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA (CICHORIUM spp.), FRESCAS O REFRIGERADAS.
7;PARTIDA;07.06;ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADA, SALSIFÍES, APIONABOS, RÁBANOS Y RAÍCES COMESTIBLES SIMILARES, FRESCOS O REFRIGERADOS.
7;PARTIDA;07.08;HORTALIZAS DE VAINA, AUNQUE ESTÉN DESVAINADAS, FRESCAS REFRIGERADAS.
7;PARTIDA;07.09;LAS DEMÁS HORTALIZAS, FRESCAS O REFRIGERADAS.
7;PARTIDA;07.10;HORTALIZAS, AUNQUE ESTÉN COCIDAS EN AGUA O VAPOR, CONGELADAS.
7;PARTIDA;07.11;HORTALIZAS CONSERVADAS PROVISIONALMENTE, PERO TODAVÍA IMPROPIAS, EN ESTE ESTADO, PARA CONSUMO INMEDIATO.
7;PARTIDA;07.12;HORTALIZAS SECAS, INCLUIDAS LAS CORTADAS EN TROZOS O EN RODAJAS O LAS TRITURADAS O PULVERIZADAS, PERO SIN OTRA PREPARACIÓN.
7;PARTIDA;07.13;HORTALIZAS DE VAINA SECAS DESVAINADAS, AUNQUE ESTÉN MONDADAS O PARTIDAS.
7;PARTIDA;07.14;"RAÍCES DE MANDIOCA (YUCA)*, ARRURRUZ O SALEP, AGUATURMAS (PATACAS)*, BATATAS (BONIATOS, CAMOTES)* Y RAÍCES Y TUBÉRCULOS SIMILARES RICOS EN FÉCULA O INULINA, FRESCOS, REFRIGERADOS, CONGELADOS O SECOS, INCLUSO TROCEADOS O EN «PELLETS»; MÉDULA DE SAGÚ."
8;PARTIDA;08.01;COCOS, NUECES DEL BRASIL Y NUECES DE «CAJÚ» (MEREY, CAJUIL, ANACARDO, MARAÑÓN)*, FRESCOS O SECOS, INCLUSO SIN CÁSCARA O MONDADOS.
8;PARTIDA;08.02;LOS DEMÁS FRUTOS DE CÁSCARA FRESCOS O SECOS, INCLUSO SIN CÁSCARA O MONDADOS.
8;PARTIDA;08.03;BANANAS, INCLUIDOS LOS PLÁTANOS «PLANTAINS», FRESCOS SECOS.
8;PARTIDA;08.04;DÁTILES, HIGOS, PIÑAS (ANANÁS), AGUACATES (PALTAS)*, GUAYABAS, MANGOS Y MANGOSTANES, FRESCOS O SECOS.
8;PARTIDA;08.05;AGRIOS (CÍTRICOS) FRESCOS O SECOS.
8;PARTIDA;08.06;UVAS, FRESCAS O SECAS, INCLUIDAS LAS PASAS.
8;PARTIDA;08.07;MELONES, SANDÍAS Y PAPAYAS, FRESCOS.
8;PARTIDA;08.08;MANZANAS, PERAS Y MEMBRILLOS, FRESCOS.
8;PARTIDA;08.09;DAMASCOS (CHABACANOS, ALBARICOQUES)*, CEREZAS, DURAZNOS (MELOCOTONES)* (INCLUIDOS LOS GRIÑONES Y NECTARINAS), CIRUELAS Y ENDRINAS, FRESCOS.
8;PARTIDA;08.10;LAS DEMÁS FRUTAS U OTROS FRUTOS, FRESCOS.
8;PARTIDA;08.11;FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, INCLUSO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.
8;PARTIDA;08.12;FRUTAS Y OTROS FRUTOS, CONSERVADOS PROVISIONALMENTE, PERO TODAVÍA IMPROPIOS PARA CONSUMO INMEDIATO EN ESTE ESTADO.
8;PARTIDA;08.13;FRUTAS Y OTROS FRUTOS, SECOS, EXCEPTO LOS DE LAS PARTIDAS
8;PARTIDA;08.01;"A 08.06; MEZCLAS DE FRUTAS U OTROS FRUTOS, SECOS, O DE FRUTOS DE CÁSCARA DE ESTE CAPÍTULO."
9;PARTIDA;09.01;"CAFÉ, INCLUSO TOSTADO O DESCAFEINADO; CÁSCARA Y CASCARILLA DE CAFÉ; SUCEDÁNEOS DEL CAFÉ QUE CONTENGAN CAFÉ EN CUALQUIER PROPORCIÓN."
9;PARTIDA;09.02;TÉ, INCLUSO AROMATIZADO.
9;PARTIDA;09.04;"PIMIENTA DEL GÉNERO PIPER; FRUTOS DE LOS GÉNEROS CAPSICUM O PIMENTA, SECOS, TRITURADOS O PULVERIZADOS."
9;PARTIDA;09.05;VAINILLA.
9;PARTIDA;09.06;CANELA Y FLORES DE CANELERO.
9;PARTIDA;09.07;CLAVOS (FRUTOS ENTEROS, CLAVILLOS Y PEDÚNCULOS).
9;PARTIDA;09.08;NUEZ MOSCADA, MACIS, AMOMOS Y CARDAMOMOS.
9;PARTIDA;09.09;"SEMILLAS DE ANÍS, BADIANA, HINOJO, CILANTRO, COMINO ALCARAVEA; BAYAS DE ENEBRO."
9;PARTIDA;09.10;JENGIBRE, AZAFRÁN, CÚRCUMA, TOMILLO, HOJASDE LAUREL, CURRI Y DEMÁS ESPECIAS.
10;PARTIDA;10.01;TRIGO Y MORCAJO (TRANQUILLÓN).
10;PARTIDA;10.02;CENTENO.
10;PARTIDA;10.03;CEBADA.
10;PARTIDA;10.04;AVENA.
10;PARTIDA;10.05;MAÍZ.
10;PARTIDA;10.06;ARROZ.
10;PARTIDA;10.07;SORGO DE GRANO (GRANÍFERO).
10;PARTIDA;10.08;"ALFORFÓN, MIJO Y ALPISTE; LOS DEMÁS CEREALES."
11;PARTIDA;11.02;HARINA DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO (TRANQUILLÓN).
11;PARTIDA;11.03;GRAÑONES, SÉMOLA Y «PELLETS», DE CEREALES.
11;PARTIDA;11.04;"GRANOS DE CEREALES TRABAJADOS DE OTRO MODO (POR EJEMPLO: MONDADOS, APLASTADOS, EN COPOS, PERLADOS, TROCEADOS O QUEBRANTADOS), EXCEPTO EL ARROZ DE LA PARTIDA10.06; GERMEN DE CEREALES ENTERO, APLASTADO, EN COPOS O MOLIDO."
11;PARTIDA;11.05;HARINA, SÉMOLA, POLVO, COPOS, GRÁNULOS Y«PELLETS», DEPAPA (PATATA)*.
11;PARTIDA;11.06;HARINA, SÉMOLA Y POLVO DE LAS HORTALIZAS DE LA PARTIDA07.13, DE SAGÚ O DE LAS RAÍCES O TUBÉRCULOS DE LA PARTIDA07.14ODE LOS PRODUCTOS DEL CAPÍTULO 8.
11;PARTIDA;11.07;MALTA (DE CEBADA U OTROS CEREALES), INCLUSO TOSTADA.
11;PARTIDA;11.08;"ALMIDÓN Y FÉCULA; INULINA."
12;PARTIDA;12.01;HABAS (POROTOS, FRIJOLES, FRÉJOLES)* DE SOJA (SOYA), INCLUSO QUEBRANTADAS.
12;PARTIDA;12.02;MANÍES (CACAHUETES, CACAHUATES)* SIN TOSTAR NI COCER DE OTRO MODO, INCLUSO SIN CÁSCARA O QUEBRANTADOS.
12;PARTIDA;12.05;SEMILLAS DE NABO (NABINA) O DE COLZA, INCLUSO QUEBRANTADAS.
12;PARTIDA;12.07;LAS DEMÁS SEMILLAS Y FRUTOS OLEAGINOSOS, INCLUSO QUEBRANTADOS.
12;PARTIDA;12.08;HARINA DE SEMILLAS O DE FRUTOS OLEAGINOSOS, EXCEPTO LA HARINA DE MOSTAZA.
12;PARTIDA;12.09;SEMILLAS, FRUTOS Y ESPORAS, PARA SIEMBRA.
12;PARTIDA;12.10;"CONOS DE LÚPULO FRESCOS O SECOS, INCLUSO TRITURADOS, MOLIDOS O EN «PELLETS»; LUPULINO."
12;PARTIDA;12.11;PLANTAS, PARTES DE PLANTAS, SEMILLAS Y FRUTOS DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN PERFUMERÍA, MEDICINA O PARA USOS INSECTICIDAS, PARASITICIDAS O SIMILARES, FRESCOS, REFRIGERADOS, CONGELADOS O SECOS, INCLUSO CORTADOS, QUEBRANTADOS O PULVERIZADOS.
12;PARTIDA;12.12;"ALGARROBAS, ALGAS, REMOLACHA AZUCARERA Y CAÑA DE AZÚCAR, FRESCAS, REFRIGERADAS, CONGELADAS O SECAS, INCLUSO PULVERIZADAS; CAROZOS (HUESOS)* Y ALMENDRAS DE FRUTOS Y DEMÁS PRODUCTOS VEGETALES (INCLUIDAS LAS RAÍCES DE ACHICORIA SIN TOSTAR DE LA VARIEDAD CICHORIUMINTYBUS SATIVUM) EMPLEADOS PRINCIPALMENTE EN LA ALIMENTACIÓN HUMANA, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE."
12;PARTIDA;12.14;NABOS FORRAJEROS, REMOLACHAS FORRAJERAS, RAÍCES FORRAJERAS, HENO, ALFALFA, TRÉBOL, ESPARCETA, COLES FORRAJERAS, ALTRAMUCES, VEZAS Y PRODUCTOS FORRAJEROS SIMILARES, INCLUSO EN «PELLETS».
13;PARTIDA;13.01;"GOMA LACA; GOMAS, RESINAS, GOMORRESINAS Y OLEORRESINAS (POR EJEMPLO, BÁLSAMOS), NATURALES."
13;PARTIDA;13.02;"JUGOS Y EXTRACTOS VEGETALES; MATERIAS PÉCTICAS, PECTINATOS Y PECTATOS; AGAR-AGAR Y DEMÁS MUCÍLAGOS Y ESPESATIVOS DERIVADOS DE LOS VEGETALES, INCLUSO MODIFICADOS."
14;PARTIDA;14.01;MATERIAS VEGETALES DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN CESTERÍA O ESPARTERÍA (POR EJEMPLO: BAMBÚ, ROTEN (RATÁN)*, CAÑA, JUNCO, MIMBRE, RAFIA, PAJA DE CEREALES LIMPIADA, BLANQUEADA O TEÑIDA, CORTEZA DE TILO).
14;PARTIDA;14.04;PRODUCTOS VEGETALES NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.
15;PARTIDA;15.01;GRASA DE CERDO (INCLUIDA LA MANTECA DE CERDO) Y GRASA DE AVE, EXCEPTO LAS DE LAS PARTIDAS 02.09 O 15.03.
15;PARTIDA;15.02;GRASA DE ANIMALES DE LAS ESPECIES BOVINA, OVINA O CAPRINA, EXCEPTO LAS DE LA PARTIDA 15.03.
15;PARTIDA;15.04;GRASAS Y ACEITES, Y SUS FRACCIONES, DE PESCADO O DE MAMÍFEROS MARINOS, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.07;ACEITE DE SOJA (SOYA) Y SUS FRACCIONES, INCLUSO REFINADO, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.08;ACEITE DE MANÍ (CACAHUATE, CACAHUETE)* Y SUS FRACCIONES, INCLUSO REFINADO, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.09;ACEITE DE OLIVA Y SUS FRACCIONES, INCLUSO REFINADO, PEROSIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.10;LOS DEMÁS ACEITES Y SUS FRACCIONES OBTENIDOS EXCLUSIVAMENTE DE ACEITUNA, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE, Y MEZCLAS DE ESTOS ACEITES O FRACCIONES CON LOS ACEITES O FRACCIONES DE LA PARTIDA 15.09.
15;PARTIDA;15.11;ACEITE DE PALMA Y SUS FRACCIONES, INCLUSO REFINADO, PEROSIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.12;ACEITES DE GIRASOL, CÁRTAMO O ALGODÓN, Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.13;ACEITES DE COCO(DECOPRA), DE ALMENDRA DE PALMA(PALMISTE)* O DE BABASÚ, Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.14;ACEITES DE NABO (DE NABINA), COLZA O MOSTAZA, Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.15;LAS DEMÁS GRASAS Y ACEITES, VEGETALES,(INCLUIDO EL ACEITE DE JOJOBA) O DE ORIGEN MICROBIANO, FIJOS, Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUÍMICAMENTE.
15;PARTIDA;15.16;GRASAS Y ACEITES, ANIMALES, VEGETALES O DE ORIGEN MICROBIANO, Y SUS FRACCIONES, PARCIAL O TOTALMENTE HIDROGENADOS, INTERESTERIFICADOS, REESTERIFICADOS O ELAIDINIZADOS, INCLUSO REFINADOS, PERO SIN PREPARAR DE OTRO MODO.
15;PARTIDA;15.17;"MARGARINA; MEZCLAS O PREPARACIONES ALIMENTICIAS DE GRASAS O ACEITES, ANIMALES, VEGETALES O DE ORIGEN MICROBIANO, ODE FRACCIONESDEDIFERENTESGRASASO ACEITES, DE ESTE CAPÍTULO, EXCEPTO LAS GRASAS Y ACEITES, ALIMENTICIOS O SUS FRACCIONES, DE LA PARTIDA 15.16."
15;PARTIDA;15.21;CERAS VEGETALES (EXCEPTO LOS TRIGLICÉRIDOS), CERA DE ABEJAS O DE OTROS INSECTOS Y ESPERMA DE BALLENA O DE OTROS CETÁCEOS (ESPERMACETI), INCLUSO REFINADAS O COLOREADAS.
16;PARTIDA;16.02;LAS DEMÁS PREPARACIONES Y CONSERVAS DE CARNE, DESPOJOS, SANGRE O DE INSECTOS.
16;PARTIDA;16.04;"PREPARACIONES Y CONSERVAS DE PESCADO; CAVIAR Y SUS SUCEDÁNEOS PREPARADOS CON HUEVAS DE PESCADO."
16;PARTIDA;16.05;CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICOS, PREPARADOS O CONSERVADOS.
17;PARTIDA;17.01;AZÚCAR DE CAÑA O DE REMOLACHA Y SACAROSA QUÍMICAMENTE PURA, EN ESTADO SÓLIDO.
17;PARTIDA;17.02;"LOS DEMÁS AZÚCARES, INCLUIDAS LA LACTOSA, MALTOSA, GLUCOSA Y FRUCTOSA(LEVULOSA)QUÍMICAMENTE PURAS, EN ESTADO SÓLIDO; JARABE DE AZÚCAR SIN ADICIÓN DE AROMATIZANTE NI COLORANTE;; SUCEDÁNEOS DE LA MIEL, INCLUSO MEZCLADOS CON MIEL NATURAL; AZÚCAR Y MELAZA CARAMELIZADOS."
17;PARTIDA;17.03;MELAZA PROCEDENTE DE LA EXTRACCIÓN O DEL REFINADO DEL AZÚCAR.
17;PARTIDA;17.04;ARTÍCULOS DE CONFITERÍA SIN CACAO (INCLUIDO EL CHOCOLATE BLANCO).
18;PARTIDA;18.03;PASTA DE CACAO, INCLUSO DESGRASADA.
18;PARTIDA;18.06;CHOCOLATE Y DEMÁS PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO.
19;PARTIDA;19.01;"EXTRACTO DE MALTA; PREPARACIONES ALIMENTICIAS DE HARINA, GRAÑONES, SÉMOLA, ALMIDÓN, FÉCULA O EXTRACTO DE MALTA, QUE NO CONTENGAN CACAO O CON UN CONTENIDO DE CACAO INFERIOR AL 40% EN PESO CALCULADO SOBRE UNA BASE TOTALMENTE DESGRASADA, NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE; PREPARACIONES ALIMENTICIAS DE PRODUCTOS DE LAS PARTIDAS CACAO INFERIOR AL 5% EN PESO CALCULADO SOBRE UNA BASE TOTALMENTE DESGRASADA, NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE."
19;PARTIDA;19.02;"PASTAS ALIMENTICIAS, INCLUSO COCIDAS O RELLENAS(DE CARNE U OTRAS SUSTANCIAS) O PREPARADAS DE OTRA FORMA, TALES COMO ESPAGUETIS, FIDEOS, MACARRONES, TALLARINES, LASAÑAS, ÑOQUIS, RAVIOLES, CANELONES; CUSCÚS, INCLUSO PREPARADO."
19;PARTIDA;19.04;"PRODUCTOS A BASE DE CEREALES OBTENIDOS POR INFLADO TOSTADO (POR EJEMPLO: HOJUELAS O COPOS DE MAÍZ); CEREALES (EXCEPTO EL MAÍZ)EN GRANO O EN FORMA DE COPOS U OTRO GRANO TRABAJADO (EXCEPTO LA HARINA, GRAÑONES Y SÉMOLA), PRECOCIDOS O PREPARADOS DE OTRO MODO, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE."
19;PARTIDA;19.05;"PRODUCTOS DE PANADERÍA, PASTELERÍA O GALLETERÍA, INCLUSO CON ADICIÓN DE CACAO; HOSTIAS, SELLOS VACÍOS DE LOS TIPOS UTILIZADOS PARA MEDICAMENTOS, OBLEAS PARA SELLAR, PASTAS SECAS DE HARINA, ALMIDÓN O FÉCULA, EN HOJAS, Y PRODUCTOS SIMILARES."
20;PARTIDA;20.01;HORTALIZAS, FRUTAS U OTROS FRUTOS Y DEMÁS PARTES COMESTIBLES DE PLANTAS, PREPARADOS O CONSERVADOS EN VINAGRE O EN ÁCIDO ACÉTICO.
20;PARTIDA;20.02;TOMATES PREPARADOS O CONSERVADOS(EXCEPTO EN VINAGRE O EN ÁCIDO ACÉTICO).
20;PARTIDA;20.03;HONGOS Y TRUFAS, PREPARADOS O CONSERVADOS (EXCEPTO EN VINAGRE O EN ÁCIDO ACÉTICO).
20;PARTIDA;20.04;LAS DEMÁS HORTALIZAS PREPARADAS O CONSERVADAS(EXCEPTO EN VINAGRE O EN ÁCIDO ACÉTICO), CONGELADAS, EXCEPTO LOS PRODUCTOS DE LA PARTIDA 20.06.
20;PARTIDA;20.05;LAS DEMÁS HORTALIZAS PREPARADAS O CONSERVADAS(EXCEPTO EN VINAGRE O EN ÁCIDO ACÉTICO), SIN CONGELAR, EXCEPTO LOS PRODUCTOS DE LA PARTIDA 20.06.
20;PARTIDA;20.07;CONFITURAS, JALEAS Y MERMELADAS, PURÉS Y PASTAS DE FRUTAS U OTROS FRUTOS, OBTENIDOS POR COCCIÓN, INCLUSO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.
20;PARTIDA;20.08;FRUTAS U OTROS FRUTOS Y DEMÁS PARTES COMESTIBLES DE PLANTAS, PREPARADOS O CONSERVADOS DE OTRO MODO, INCLUSO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE O ALCOHOL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.
20;PARTIDA;20.09;JUGOS DE FRUTAS U OTROS FRUTOS(INCLUIDO EL MOSTO DE UVA Y EL AGUA DE COCO) O DE HORTALIZAS, SIN FERMENTAR Y SIN ADICIÓN DE ALCOHOL, INCLUSO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.
