id_capitulo,id_seccion,numero_capitulo,descripcion,created_at,updated_at
34,10,34,"JABÓN, AGENTES DE SUPERFICIE ORGÁNICOS, PREPARACIONES PARA LAVAR, PREPARACIONES LUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS, PRODUCTOS DE LIMPIEZA, VELAS Y ARTÍCULOS SIMILARES, PASTAS PARA MODELAR, «CERAS PARA ODONTOLOGÍA» Y PREPARACIONES PARA ODONTOLOGÍA A BASE DE YESO FRAGUABLE",2026-05-09 13:57:11,2026-05-09 13:57:11
35,10,35,MATERIAS ALBUMINOIDEAS; PRODUCTOS A BASE DE ALMIDÓN O DE FÉCULA MODIFICADOS; COLAS; ENZIMAS,2026-05-09 13:57:11,2026-05-09 13:57:11
36,10,36,PÓLVORA Y EXPLOSIVOS; ARTÍCULOS DE PIROTECNIA; FÓSFOROS (CERILLAS); ALEACIONES PIROFÓRICAS; MATERIAS INFLAMABLES,2026-05-09 13:57:11,2026-05-09 13:57:11
37,10,37,PRODUCTOS FOTOGRÁFICOS O CINEMATOGRÁFICOS,2026-05-09 13:57:11,2026-05-09 13:57:11
38,10,38,PRODUCTOS DIVERSOS DE LAS INDUSTRIAS QUÍMICAS,2026-05-09 13:57:11,2026-05-09 13:57:11
39,14,39,PLÁSTICO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
40,14,40,CAUCHO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
41,7,41,PIELES (EXCEPTO LA PELETERÍA) Y CUEROS,2026-05-09 13:57:11,2026-05-09 13:57:11
42,7,42,"MANUFACTURAS DE CUERO; ARTÍCULOS DE TALABARTERÍA O GUARNICIONERÍA; ARTÍCULOS DE VIAJE, BOLSOS DE MANO (CARTERAS) Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA",2026-05-09 13:57:11,2026-05-09 13:57:11
43,7,43,PELETERÍA Y CONFECCIONES DE PELETERÍA; PELETERÍA FACTICIA O ARTIFICIAL,2026-05-09 13:57:11,2026-05-09 13:57:11
44,7,44,"MADERA, CARBÓN VEGETAL Y MANUFACTURAS DE MADERA",2026-05-09 13:57:11,2026-05-09 13:57:11
45,8,45,CORCHO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
46,8,46,MANUFACTURAS DE ESPARTERÍA O CESTERÍA,2026-05-09 13:57:11,2026-05-09 13:57:11
47,5,47,PASTA DE MADERA O DE LAS DEMÁS MATERIAS FIBROSAS CELULÓSICAS; PAPEL O CARTÓN PARA RECICLAR (DESPERDICIOS Y DESECHOS),2026-05-09 13:57:11,2026-05-09 13:57:11
48,5,48,"PAPEL Y CARTÓN; MANUFACTURAS DE PASTA DE CELULOSA, DE PAPEL O CARTÓN",2026-05-09 13:57:11,2026-05-09 13:57:11
49,5,49,"PRODUCTOS EDITORIALES, DE LA PRENSA Y DE LAS DEMÁS INDUSTRIAS GRÁFICAS; TEXTOS MANUSCRITOS O MECANOGRAFIADOS Y PLANOS",2026-05-09 13:57:11,2026-05-09 13:57:11
50,6,50,SEDA,2026-05-09 13:57:11,2026-05-09 13:57:11
51,6,51,LANA Y PELO FINO U ORDINARIO; HILADOS Y TEJIDOS DE CRIN,2026-05-09 13:57:11,2026-05-09 13:57:11
52,6,52,ALGODÓN,2026-05-09 13:57:11,2026-05-09 13:57:11
53,6,53,LAS DEMÁS FIBRAS TEXTILES VEGETALES; HILADOS DE PAPEL Y TEJIDOS DE HILADOS DE PAPEL,2026-05-09 13:57:11,2026-05-09 13:57:11
54,6,54,FILAMENTOS SINTÉTICOS O ARTIFICIALES; TIRAS Y FORMAS SIMILARES DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL,2026-05-09 13:57:11,2026-05-09 13:57:11
55,6,55,FIBRAS SINTÉTICAS O ARTIFICIALES DISCONTINUAS,2026-05-09 13:57:11,2026-05-09 13:57:11
56,6,56,"GUATA, FIELTRO Y TELA SIN TEJER; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES; ARTÍCULOS DE CORDELERÍA",2026-05-09 13:57:11,2026-05-09 13:57:11
57,6,57,"ALFOMBRAS Y DEMÁS REVESTIMIENTOS PARA EL SUELO, DE MATERIA TEXTIL",2026-05-09 13:57:11,2026-05-09 13:57:11
58,6,58,TEJIDOS ESPECIALES; SUPERFICIES TEXTILES CON MECHÓN INSERTADO; ENCAJES; TAPICERÍA; PASAMANERÍA; BORDADOS,2026-05-09 13:57:11,2026-05-09 13:57:11
59,6,59,"TELAS IMPREGNADAS, RECUBIERTAS, REVESTIDAS O ESTRATIFICADAS; ARTÍCULOS TÉCNICOS DE MATERIA TEXTIL",2026-05-09 13:57:11,2026-05-09 13:57:11
60,6,60,TEJIDOS DE PUNTO,2026-05-09 13:57:11,2026-05-09 13:57:11
61,6,61,"PRENDAS Y COMPLEMENTOS (ACCESORIOS), DE VESTIR, DE PUNTO",2026-05-09 13:57:11,2026-05-09 13:57:11
62,6,62,"PRENDAS Y COMPLEMENTOS (ACCESORIOS), DE VESTIR, EXCEPTO LOS DE PUNTO",2026-05-09 13:57:11,2026-05-09 13:57:11
63,6,63,LOS DEMÁS ARTÍCULOS TEXTILES CONFECCIONADOS; JUEGOS; PRENDERÍA Y TRAPOS,2026-05-09 13:57:11,2026-05-09 13:57:11
64,2,64,"CALZADO, POLAINAS Y ARTÍCULOS ANÁLOGOS; PARTES DE ESTOS ARTÍCULOS",2026-05-09 13:57:11,2026-05-09 13:57:11
65,2,65,"SOMBREROS, DEMÁS TOCADOS, Y SUS PARTES",2026-05-09 13:57:11,2026-05-09 13:57:11
66,2,66,"PARAGUAS, SOMBRILLAS, QUITASOLES, BASTONES, BASTONES ASIENTO, LÁTIGOS, FUSTAS, Y SUS PARTES",2026-05-09 13:57:11,2026-05-09 13:57:11
67,2,67,PLUMAS Y PLUMÓN PREPARADOS Y ARTÍCULOS DE PLUMAS O PLUMÓN; FLORES ARTIFICIALES; MANUFACTURAS DE CABELLO,2026-05-09 13:57:11,2026-05-09 13:57:11
68,3,68,"MANUFACTURAS DE PIEDRA, YESO FRAGUABLE, CEMENTO, AMIANTO (ASBESTO), MICA O MATERIAS ANÁLOGAS",2026-05-09 13:57:11,2026-05-09 13:57:11
69,3,69,PRODUCTOS CERÁMICOS,2026-05-09 13:57:11,2026-05-09 13:57:11
70,3,70,VIDRIO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
71,4,71,"PERLAS NATURALES (FINAS)* O CULTIVADAS, PIEDRAS PRECIOSAS O SEMIPRECIOSAS, METALES PRECIOSOS, CHAPADOS DE METAL PRECIOSO (PLAQUÉ) Y MANUFACTURAS DE ESTAS MATERIAS; BISUTERÍA; MONEDAS",2026-05-09 13:57:11,2026-05-09 13:57:11
72,15,72,"FUNDICIÓN, HIERRO Y ACERO",2026-05-09 13:57:11,2026-05-09 13:57:11
73,15,73,"MANUFACTURAS DE FUNDICIÓN, HIERRO O ACERO",2026-05-09 13:57:11,2026-05-09 13:57:11
74,15,74,COBRE Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
75,15,75,NÍQUEL Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
76,15,76,ALUMINIO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
77,15,77,(RESERVADO PARA UNA FUTURA UTILIZACIÓN EN EL SISTEMA ARMONIZADO),2026-05-09 13:57:11,2026-05-09 13:57:11
78,15,78,PLOMO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
79,15,79,CINC Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
80,15,81,LOS DEMÁS METALES COMUNES; CERMETS; MANUFACTURAS DE ESTAS MATERIAS,2026-05-09 13:57:11,2026-05-09 13:57:11
81,15,80,ESTAÑO Y SUS MANUFACTURAS,2026-05-09 13:57:11,2026-05-09 13:57:11
82,15,82,"HERRAMIENTAS Y ÚTILES, ARTÍCULOS DE CUCHILLERÍA Y CUBIERTOS DE MESA, DE METAL COMÚN; PARTES DE ESTOS ARTÍCULOS, DE METAL COMÚN",2026-05-09 13:57:11,2026-05-09 13:57:11
83,15,83,MANUFACTURAS DIVERSAS DE METAL COMÚN,2026-05-09 13:57:11,2026-05-09 13:57:11
84,16,84,"REACTORES NUCLEARES, CALDERAS, MÁQUINAS, APARATOS Y ARTEFACTOS MECÁNICOS; PARTES DE ESTAS MÁQUINAS O APARATOS",2026-05-09 13:57:11,2026-05-09 13:57:11
85,16,85,"MÁQUINAS, APARATOS Y MATERIAL ELÉCTRICO, Y SUS PARTES; APARATOS DE GRABACIÓN O REPRODUCCIÓN DE SONIDO, APARATOS DE GRABACIÓN O REPRODUCCIÓN DE IMAGEN Y SONIDO EN TELEVISIÓN, Y LAS PARTES Y ACCESORIOS DE ESTOS APARATOS",2026-05-09 13:57:11,2026-05-09 13:57:11
86,17,86,"VEHÍCULOS Y MATERIAL PARA VÍAS FÉRREAS O SIMILARES, Y SUS PARTES; APARATOS MECÁNICOS (INCLUSO ELECTROMECÁNICOS) DE SEÑALIZACIÓN PARA VÍAS DE COMUNICACIÓN",2026-05-09 13:57:11,2026-05-09 13:57:11
87,17,87,"VEHÍCULOS AUTOMÓVILES, TRACTORES, VELOCÍPEDOS Y DEMÁS VEHÍCULOS TERRESTRES; SUS PARTES Y ACCESORIOS",2026-05-09 13:57:11,2026-05-09 13:57:11
88,17,88,"AERONAVES, VEHÍCULOS ESPACIALES, Y SUS PARTES",2026-05-09 13:57:11,2026-05-09 13:57:11
89,17,89,BARCOS Y DEMÁS ARTEFACTOS FLOTANTES,2026-05-09 13:57:11,2026-05-09 13:57:11
90,18,90,"INSTRUMENTOS Y APARATOS DE ÓPTICA, FOTOGRAFÍA O CINEMATOGRAFÍA, DE MEDIDA, CONTROL O PRECISIÓN; INSTRUMENTOS Y APARATOS MEDICOQUIRÚRGICOS; PARTES Y ACCESORIOS DE ESTOS INSTRUMENTOS O APARATOS",2026-05-09 13:57:11,2026-05-09 13:57:11
91,18,91,APARATOS DE RELOJERÍA Y SUS PARTES,2026-05-09 13:57:11,2026-05-09 13:57:11
92,18,92,INSTRUMENTOS MUSICALES; SUS PARTES Y ACCESORIOS,2026-05-09 13:57:11,2026-05-09 13:57:11
93,19,93,"ARMAS, MUNICIONES, Y SUS PARTES Y ACCESORIOS",2026-05-09 13:57:11,2026-05-09 13:57:11
94,20,94,"MUEBLES; MOBILIARIO MEDICOQUIRÚRGICO; ARTÍCULOS DE CAMA Y SIMILARES; LUMINARIAS Y APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE; ANUNCIOS, LETREROS Y PLACAS INDICADORAS, LUMINOSOS Y ARTÍCULOS SIMILARES; CONSTRUCCIONES PREFABRICADAS",2026-05-09 13:57:11,2026-05-09 13:57:11
95,20,95,"JUGUETES, JUEGOS Y ARTÍCULOS PARA RECREO O DEPORTE; SUS PARTES Y ACCESORIOS",2026-05-09 13:57:11,2026-05-09 13:57:11
96,20,96,MANUFACTURAS DIVERSAS,2026-05-09 13:57:11,2026-05-09 13:57:11
97,21,97,OBJETOS DE ARTE O COLECCIÓN Y ANTIGÜEDADES,2026-05-09 13:57:11,2026-05-09 13:57:11
98,22,98,MERCANCÍAS SOMETIDAS A TRATAMIENTOS ARANCELARIOS ESPECIALES,2026-05-09 13:57:11,2026-05-09 13:57:11
